CMS Code,Carrier,Plan Name,Year,Benefit,Value,Source,Verified By,Verified Date,Notes
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,PCP,20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Specialist,20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Telehealth,0% - 20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Chiropractic,$15,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Podiatry,$30,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Other professional,20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Inpatient hospital,$838 days 1-60,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Inpatient psychiatric,$838 days 1-60,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Skilled nursing facility,$0 days 1-20 / $218 days 21-60,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Home health,20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Hospice,0%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Outpatient hospital,20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Outpatient surgery (ASC),20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Outpatient surgery (hospital),20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Observation services,20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Emergency room,$115,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Urgent care,$40,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Ambulance (ground),20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Ambulance (air),20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Transportation,20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Lab services,20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Diagnostic radiology,20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Renal dialysis,20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Durable medical equipment,20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Prosthetics,20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Diabetic supplies,20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Physical therapy,20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Occupational therapy,$30,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Cardiac rehab,$30,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Pulmonary rehab,$25,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Mental health (individual),20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Mental health (group),20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Substance abuse (individual),20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Partial hospitalization,20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Preventive services,$0,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Wellness programs,$0,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Dental - preventive,20%,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Vision - eyeglasses,$0,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,OTC allowance,$0,CMS,,,
H3404-004,BCBS,Blue Medicare Freedom+ (PPO),2026,Meals,$0,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Premium,Not Applicable,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Max out-of-pocket,"$3,900",CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,PCP,$0,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Specialist,$25,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Telehealth,$0 - $25,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Chiropractic,$20,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Podiatry,$25,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Other professional,$10,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Inpatient hospital,$295 days 1-6 / $0 days 7-90,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Inpatient psychiatric,$295 days 1-5 / $0 days 6-90,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Skilled nursing facility,$0 days 1-20 / $218 days 21-100,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Home health,$40,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Hospice,$0,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Outpatient hospital,$0 - $25,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Outpatient surgery (ASC),$0 - $300,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Outpatient surgery (hospital),$0 - $60,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Observation services,$0 - $5,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Emergency room,$150,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Urgent care,$65,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Ambulance (ground),$0 - $275,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Ambulance (air),$0,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Transportation,$0 - $225,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Lab services,$250,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Diagnostic radiology,$250,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Renal dialysis,20%,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Durable medical equipment,20%,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Prosthetics,20%,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Diabetic supplies,0% - 20%,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Physical therapy,$0 - $25,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Occupational therapy,$25,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Cardiac rehab,$0,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Pulmonary rehab,$15,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Mental health (individual),$25,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Mental health (group),$25,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Substance abuse (individual),$25,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Partial hospitalization,$25,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Preventive services,$0,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Wellness programs,$0,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Dental - allowance,"$2,000 per year",CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Dental - preventive,$25,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Dental - oral exam,$0 (2 per year),CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Dental - cleaning,$0 (See detailed benefit description below.),CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Dental - fluoride,$0 (2 per year),CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Dental - restorative,$0 (See detailed benefit description below.),CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Dental - endodontics,$0 (Endodontic Services are covered once per tooth per lifetime.),CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Dental - periodontics,$0 (See detailed benefit description below.),CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Dental - extractions,$0 (See detailed benefit description below.),CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Dental - other comprehensive,$0 (See detailed benefit description below.),CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Vision - routine eye exam,$0 (1 per year),CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Vision - eyeglasses,$0,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Vision - contact lenses,$0,CMS,,,
H3449-012,BCBS,Blue Medicare Medical Only (HMO-POS),2026,Vision - eyewear (post-cataract),$0,CMS,,,
